member_id,full_name,email,phone_number,gender,join_date,membership_type,status,home_branch,birth_year
bbee92d9,Malek Ayari,malek.ayari@gmail.com,58655593,M,2023-10-14,Annual,Cancelled,Tunis Lake,2002
6ae21bb6,Imen Louati,imen.louati@gmail.com,92291927,F,2022-12-02,Student,Active,Bizerte Port,1996
ee285884,Ali Dridi,ali.dridi@gmail.com,98497864,M,2022-02-04,Annual,Active,Sousse Corniche,1984
6f6e3521,Sami Louati,sami.louati@gmail.com,86249519,M,2022-06-17,Monthly,Cancelled,Bizerte Port,1996
d95e4b0a,Rania Bahri,rania.bahri@gmail.com,93099503,F,2024-07-04,Monthly,Expired,Bizerte Port,1999
c024129b,Hedi Bahri,hedi.bahrigmail.com,07672086,M,2023-09-18,Annual,Active,Sousse Corniche,1982
7991738a,Rania Trabelsi,rania.trabelsi@gmail.com,99607861,F,2022-07-05,6-Month,Expired,Sfax Center,1980
227e3777,Khaled Bahri,khaled.bahri@gmail.com,98875186,M,2023-12-26,Student,Expired,Bizerte Port,2001
8b98ab14,Fatma Dridi,fatma.dridi@gmail.com,92908762,F,2024-07-06,Monthly,Active,Sfax Center,1986
cfa2875c,Youssef Ayari,youssef.ayari@gmail.com,92619586,M,2022-02-19,Student,Cancelled,Tunis Lake,1991
7e460922,Hedi Mebarki,hedi.mebarki@gmail.com,07083372,M,2022-03-25,6-Month,Active,Sfax Center,1973
0cef28ca,Malek Ben Ali,malek.ben.ali@gmail.com,91637155,M,2023-06-14,6-Month,Active,Sfax Center,1994
2ea60c4e,Bilel Dridi,bilel.dridi@gmail.com,97145603,M,2022-03-31,VIP,Active,Sousse Corniche,1972
97c45d46,Imen Mansouri,imen.mansouri@gmail.com,09969633,F,2024-05-09,Monthly,Expired,Sousse Corniche,1996
cf10c67d,Amira Sellami,amira.sellami@gmail.com,97488726,F,2022-03-14,Monthly,Expired,Nabeul Plage,1992
99d5b97d,Mohamed Hammami,mohamed.hammamigmail.com,92303728,M,2024-10-13,Annual,Active,Sfax Center,1981
6a0397f2,Sarra Abidi,sarra.abidi@gmail.com,49827268,F,2022-12-05,Monthly,Expired,Sfax Center,1992
902a851f,Zied Hammami,zied.hammami@gmail.com,91127455,M,2023-12-19,Student,Cancelled,Bizerte Port,1975
c2e37060,Walid Khelifi,walid.khelifi@gmail.com,92984555,M,2023-06-02,VIP,Cancelled,Sfax Center,1995
42e86069,Bilel Ben Ali,bilel.ben.ali@gmail.com,96719246,M,2022-09-12,6-Month,Cancelled,Tunis Lake,1981
27ba1d95,Siwar Abidi,siwar.abidi@gmail.com,92039363,F,2023-09-07,MONTHLY,Active,Sfax Center,1998
02b3b56c,Ali Sellami,ali.sellami@gmail.com,95132176,M,2024-03-01,Monthly,Cancelled,Nabeul Plage,1981
b112238a,Hela Ben Ali,hela.ben.ali@gmail.com,99876069,F,2024-04-28,Annual,Expired,Tunis Lake,2004
19676de4,Amira Gharbi,amira.gharbi@gmail.com,59975169,F,2022-10-24,Student,Cancelled,Sfax Center,1987
bb90aa50,Mohamed Khelifi,mohamed.khelifi@gmail.com,91278920,M,2024-02-26,6-Month,Expired,Nabeul Plage,1972
39ed3bbb,Ines Khelifi,ines.khelifi@gmail.com,99267949,F,2023-09-24,STUDENT,Expired,Sousse Corniche,1997
31b81ada,Siwar Ayari,siwar.ayari@gmail.com,98834512,F,2022-01-13,VIP,Expired,Bizerte Port,1996
895640fb,Sami Ferjani,sami.ferjani@gmail.com,98030838,M,2022-04-02,VIP,Active,Sfax Center,1999
b4f76843,Mohamed Bouazizi,mohamed.bouazizi@gmail.com,52481679,M,2022-10-10,Annual,Active,Bizerte Port,1976
84f71918,Mourad Bouazizi,mourad.bouazizi@gmail.com,31191171,M,2022-08-23,Student,Active,Tunis Lake,1984
5a36eb86,Ines Saidi,ines.saidi@gmail.com,93568230,F,2022-07-30,Student,Active,Bizerte Port,1986
ad7e1a34,Skander Bahri,skander.bahri@gmail.com,92231565,M,2023-05-09,Student,Active,Nabeul Plage,1973
b3db0c26,Jasser Rezgui,jasser.rezgui@gmail.com,31148540,M,2023-04-20,Student,Active,Tunis Lake,1999
dd59d26f,Karim Ferjani,karim.ferjani@gmail.com,81846436,M,2022-06-03,VIP,Active,Tunis Lake,2002
cc753b41,Malek Saidi,,97041907,M,2023-09-13,6-Month,Expired,Tunis Lake,1973
330af097,Yassine Hammami,yassine.hammami@gmail.com,99597948,M,2023-06-07,Student,Active,Nabeul Plage,2003
77f83c9f,Aziz Amri,aziz.amri@gmail.com,99065112,M,2022-05-15,6-Month,Active,Tunis Lake,2004
6663c194,Jasser Mansouri,jasser.mansouri@gmail.com,96772582,M,2024-06-01,Monthly,Expired,Sousse Corniche,1989
b5e6e83f,Mariem Hammami,mariem.hammami@gmail.com,94478121,F,2024-05-19,Monthly,Expired,Sfax Center,1982
db9947bd,Mariem Ayari,mariem.ayari@gmail.com,92406402,F,2024-07-22,Monthly,Active,Nabeul Plage,1977
d952b146,Ines Rezgui,ines.rezgui@gmail.com,91709282,F,2023-01-07,6-Month,Active,Tunis Lake,2000
75be0817,Imen Jaziri,imen.jaziri@gmail.com,90875433,F,2023-12-29,Student,Expired,Nabeul Plage,1989
fc8aadef,Sami Ferjani,,93475152,M,2023-07-26,Student,Cancelled,Tunis Lake,1995
00862265,Siwar Rezgui,siwar.rezgui@gmail.com,96245328,F,2023-01-17,VIP,Cancelled,Bizerte Port,1977
0c40ac25,Sami Mebarki,sami.mebarki@gmail.com,53487343,M,2022-10-28,Monthly,Active,Nabeul Plage,1985
85614865,Malek Saidi,malek.saidi@gmail.com,41834653,M,2022-11-11,Student,Cancelled,Tunis Lake,1990
07114f9b,Siwar Dridi,siwar.dridi@gmail.com,98992470,F,2023-07-05,VIP,Active,Sfax Center,1987
bd81e325,Fatma Ayari,,81910202,F,2022-12-06,Annual,Active,Sfax Center,1984
cd41a93b,Emna Abidi,emna.abidi@gmail.com,97989274,F,2023-12-28,Student,Active,Nabeul Plage,2005
24d83fab,Mourad Hammami,mourad.hammami@gmail.com,92981199,M,2023-03-04,VIP,Active,Sfax Center,1983
e5857dd9,Mourad Jaziri,mourad.jaziri@gmail.com,94797893,M,2024-02-02,Student,Cancelled,Nabeul Plage,1975
587cd75f,Nour Jaziri,nour.jaziri@gmail.com,97897708,F,2022-01-30,6-Month,Active,Nabeul Plage,1995
f7567a5e,Sarra Bahri,sarra.bahri@gmail.com,66941592,F,2024-05-24,VIP,Active,Nabeul Plage,1997
82a61dd8,Omar Trabelsi,omar.trabelsi@gmail.com,28509387,M,2023-08-22,Annual,Active,Tunis Lake,1998
f9467fc8,Sarra Jaziri,sarra.jaziri@gmail.com,95995100,F,2022-05-25,Monthly,Cancelled,Nabeul Plage,1994
c0c3bb2a,Siwar Louati,siwar.louati@gmail.com,96045736,F,2022-03-09,Student,Cancelled,Nabeul Plage,1988
e5e73b5d,Jasser Dridi,jasser.dridi@gmail.com,99974681,M,2022-11-30,Annual,Active,Sousse Corniche,1996
3e88e16d,Jasser Louati,jasser.louati@gmail.com,91122395,M,2022-04-13,ANNUAL,Cancelled,Nabeul Plage,1979
25689ce5,Yassine Khelifi,yassine.khelifi@gmail.com,70952690,M,2023-05-20,6-Month,Cancelled,Sousse Corniche,1988
24c2fe5d,Aziz Sellami,aziz.sellami@gmail.com,91427325,M,2024-10-04,Student,Active,Tunis Lake,1981
6b817bb8,Ahmed Mansouri,ahmed.mansouri@gmail.com,02282935,M,2023-03-30,Annual,Active,Bizerte Port,1972
7ad84e53,Bilel Rezgui,bilel.rezgui@gmail.com,67131109,M,2024-03-23,6-Month,Cancelled,Nabeul Plage,1995
054619b8,Sarra Trabelsi,sarra.trabelsi@gmail.com,98489574,F,2023-10-09,6-Month,Active,Nabeul Plage,1997
d8110098,Khaled Ferjani,khaled.ferjani@gmail.com,93624986,M,2024-06-20,VIP,Active,Tunis Lake,1983
f761da01,Mariem Sellami,mariem.sellami@gmail.com,97875619,F,2022-05-28,Student,Active,Nabeul Plage,2005
debe0ec7,Karim Gharbi,karim.gharbi@gmail.com,91747802,M,2022-01-29,Monthly,Active,Sfax Center,2000
3239c726,Khaled Bouazizi,khaled.bouazizi@gmail.com,90831425,M,2022-08-07,6-Month,Cancelled,Tunis Lake,2001
01203ea6,Youssef Sellami,youssef.sellami@gmail.com,66047160,M,2023-09-14,Monthly,Active,Tunis Lake,1989
281f35f3,Ali Mebarki,ali.mebarki@gmail.com,98107746,M,2022-06-04,Student,Cancelled,Nabeul Plage,1997
49ad5e2e,Omar Gharbi,omar.gharbi@gmail.com,95516683,M,2024-01-03,Monthly,Active,Sousse Corniche,1984
ae70def6,Mourad Saidi,,13590194,M,2023-11-24,Monthly,Active,Nabeul Plage,2003
739ecac9,Karim Amri,karim.amri@gmail.com,92288097,M,2024-04-22,Monthly,Active,Tunis Lake,1972
da7559af,Zied Abidi,zied.abidi@gmail.com,91326772,M,2022-03-28,VIP,Cancelled,Sousse Corniche,2000
50bcfe9d,Skander Bahri,skander.bahrigmail.com,98827907,M,2022-12-25,Annual,Active,Nabeul Plage,1982
0b6e17dc,Hedi Ben Ali,hedi.ben.ali@gmail.com,99270434,M,2023-05-30,6-Month,Expired,Tunis Lake,1987
ebfad458,Salma Mebarki,salma.mebarki@gmail.com,09067749,F,2022-06-20,Student,Active,Sousse Corniche,1996
f80923b7,Sami Hammami,sami.hammami@gmail.com,41907404,M,2022-01-02,VIP,Active,Sfax Center,2004
aee28b2f,Hela Jaziri,hela.jaziri@gmail.com,91972464,F,2024-03-29,6-Month,Active,Tunis Lake,1998
dc2b2125,Mourad Dridi,mourad.dridi@gmail.com,91507985,M,2022-05-24,6-Month,Expired,Sfax Center,1970
1d46356a,Hedi Dridi,hedi.dridi@gmail.com,78678820,M,2022-08-24,Monthly,Active,Sousse Corniche,1995
a1451547,Mourad Amri,mourad.amri@gmail.com,98913945,M,2023-04-13,VIP,Active,Tunis Lake,2000
06a35400,Karim Ben Ali,karim.ben.ali@gmail.com,94987821,M,2022-12-29,Annual,Cancelled,Nabeul Plage,1987
20490908,Mohamed Gharbi,mohamed.gharbi@gmail.com,68879929,M,2022-12-27,Student,Active,Sousse Corniche,2003
233dea15,Sami Jaziri,sami.jaziri@gmail.com,92640499,M,2022-12-07,6-Month,Active,Bizerte Port,1989
a5e3ba8d,Sami Saidi,sami.saidi@gmail.com,93908770,M,2023-08-20,VIP,Active,Tunis Lake,1981
acd69259,Sarra Hammami,sarra.hammami@gmail.com,48657000,F,2022-01-23,Annual,Active,Sfax Center,1992
361cdc62,Malek Amri,malek.amri@gmail.com,90061497,M,2023-06-17,VIP,Active,Sfax Center,1980
ca8d0527,Emna Ferjani,emna.ferjani@gmail.com,64046671,F,2022-09-03,VIP,Cancelled,Sousse Corniche,1981
0857b9f8,Bilel Hammami,bilel.hammami@gmail.com,99672791,M,2022-11-27,Annual,Active,Bizerte Port,1986
948d208a,Rania Jaziri,rania.jaziri@gmail.com,64274569,F,2024-12-19,VIP,Expired,Sfax Center,2003
7594c1f4,Fatma Mebarki,fatma.mebarki@gmail.com,71247444,F,2023-04-17,6-Month,Expired,Sfax Center,2001
d0424e3c,Nour Bahri,nour.bahri@gmail.com,87507858,F,2022-07-05,6-Month,Active,Sfax Center,1994
8fdd8f0b,Malek Mansouri,malek.mansouri@gmail.com,93493725,M,2024-04-07,Monthly,Cancelled,Tunis Lake,1991
b355100c,Khaled Mebarki,khaled.mebarki@gmail.com,44254699,M,2022-11-06,6-Month,Active,Tunis Lake,1976
652706a1,Fatma Bahri,fatma.bahrigmail.com,69625019,F,2023-03-01,6-Month,Cancelled,Nabeul Plage,1986
3f5456da,Mariem Louati,mariem.louati@gmail.com,42122108,F,2023-05-29,Annual,Active,Sousse Corniche,1985
23c2f847,Karim Hammami,karim.hammami@gmail.com,91276484,M,2024-01-29,Student,Expired,Nabeul Plage,1991
dfc00e1b,Amira Trabelsi,amira.trabelsi@gmail.com,99483830,F,2024-08-17,6-Month,Cancelled,Nabeul Plage,1995
bec9f841,Mariem Mebarki,mariem.mebarki@gmail.com,92021272,F,2022-12-15,Student,Expired,Nabeul Plage,2001
8704268b,Skander Gharbi,skander.gharbi@gmail.com,98381584,M,2022-11-16,Annual,Active,Sfax Center,1970
62a1136f,Emna Ayari,emna.ayarigmail.com,90310423,F,2023-03-16,Annual,Active,Tunis Lake,1981
50355bc7,Walid Rezgui,walid.rezgui@gmail.com,22928225,M,2024-03-20,6-Month,Active,Bizerte Port,1991
016c397f,Karim Saidi,karim.saidi@gmail.com,91050851,M,2022-06-23,Student,Active,Nabeul Plage,2004
441b9287,Hela Trabelsi,hela.trabelsi@gmail.com,99744104,F,2024-11-20,6-Month,Active,Bizerte Port,1992
fc28771f,Siwar Jaziri,siwar.jaziri@gmail.com,95427686,F,2024-11-26,Student,Active,Sousse Corniche,1985
76a3b04b,Mohamed Mansouri,mohamed.mansouri@gmail.com,32240039,M,2023-07-19,Annual,Cancelled,Bizerte Port,1982
1ff9b28c,Mohamed Ben Ali,mohamed.ben.ali@gmail.com,92057647,M,2024-11-10,Monthly,Active,Sousse Corniche,2005
ea3aa03e,Bilel Saidi,bilel.saidi@gmail.com,70865678,M,2024-11-29,6-Month,Active,Tunis Lake,1977
10347cf4,Zied Mebarki,zied.mebarki@gmail.com,65790035,M,2023-03-31,Monthly,Cancelled,Bizerte Port,1979
d3da436b,Bilel Louati,bilel.louati@gmail.com,95592286,M,2023-07-31,VIP,Active,Bizerte Port,1974
604ceba6,Yassine Louati,yassine.louati@gmail.com,97679232,M,2022-08-25,Student,Cancelled,Sousse Corniche,1974
49b4d657,Ahmed Ferjani,ahmed.ferjanigmail.com,91075384,M,2023-04-09,6-Month,Active,Nabeul Plage,1987
0019f444,Sarra Mebarki,sarra.mebarki@gmail.com,70068418,F,2023-03-24,Student,Expired,Sfax Center,1998
a4ffb39d,Omar Mansouri,omar.mansouri@gmail.com,39676298,M,2023-08-07,Annual,Active,Bizerte Port,1993
3885fd09,Salma Amri,salma.amri@gmail.com,95334006,F,2023-01-30,Annual,Active,Tunis Lake,1977
09f0639a,Siwar Gharbi,siwar.gharbi@gmail.com,97458862,F,2022-10-14,Student,Active,Nabeul Plage,2003
6b44961c,Nour Trabelsi,nour.trabelsi@gmail.com,96184939,F,2024-12-09,6-Month,Cancelled,Sousse Corniche,1995
ecc78c1c,Hela Mebarki,hela.mebarki@gmail.com,45084029,F,2022-07-07,Monthly,Expired,Sfax Center,2005
9e24ee06,Hela Hammami,,29023550,F,2022-07-06,Annual,Expired,Sousse Corniche,1988
24cbb1a8,Aziz Ayari,aziz.ayari@gmail.com,98561856,M,2022-01-03,Student,Cancelled,Nabeul Plage,2003
e6b5e2f1,Nour Bouazizi,nour.bouazizi@gmail.com,78244958,F,2023-07-21,Monthly,Expired,Sousse Corniche,1974
3129a71f,Omar Ferjani,omar.ferjanigmail.com,91579976,M,2024-11-07,6-Month,Active,Tunis Lake,2004
ba578f8e,Nour Saidi,nour.saidi@gmail.com,91262385,F,2022-09-09,VIP,Active,Tunis Lake,1997
ed5948eb,Mourad Abidi,mourad.abidigmail.com,91914433,M,2023-06-28,VIP,Active,Bizerte Port,1982
eac4934a,Siwar Khelifi,siwar.khelifi@gmail.com,91820718,F,2022-11-12,Annual,Cancelled,Tunis Lake,1998
47aea087,Walid Bouazizi,walid.bouazizi@gmail.com,96880396,M,2022-12-26,Annual,Active,Bizerte Port,1982
7388cf62,Imen Rezgui,imen.rezgui@gmail.com,90571848,F,2023-03-13,VIP,Expired,Nabeul Plage,1977
1b50ac9a,Karim Mansouri,karim.mansouri@gmail.com,09907783,M,2023-11-04,Monthly,Expired,Sousse Corniche,1988
1c3cb995,Malek Louati,malek.louati@gmail.com,90774552,M,2024-10-01,MONTHLY,Active,Sousse Corniche,1997
cf559a93,Khaled Hammami,khaled.hammami@gmail.com,92421769,M,2023-09-23,VIP,Expired,Tunis Lake,1975
4f90ba5b,Yassine Trabelsi,yassine.trabelsi@gmail.com,90395896,M,2024-07-21,Annual,Active,Sousse Corniche,1984
071ef3b4,Hela Ferjani,hela.ferjani@gmail.com,91229047,F,2022-03-03,Monthly,Cancelled,Bizerte Port,1984
9e0a74af,Bilel Abidi,bilel.abidi@gmail.com,17112358,M,2023-01-16,Monthly,Cancelled,Tunis Lake,1998
5cac683a,Khaled Sellami,khaled.sellami@gmail.com,91773868,M,2023-05-06,VIP,Cancelled,Bizerte Port,1982
3eed1021,Mariem Saidi,mariem.saidi@gmail.com,94534711,F,2023-01-13,VIP,Active,Sousse Corniche,1992
59dce2f9,Sarra Rezgui,sarra.rezgui@gmail.com,98924586,F,2024-09-11,Student,Active,Sfax Center,1988
114f4d73,Malek Bouazizi,,79761045,M,2024-09-29,Annual,Expired,Sousse Corniche,1971
bf86c982,Ines Mansouri,,95818956,F,2023-09-18,ANNUAL,Active,Sfax Center,2004
049c78d2,Ali Gharbi,ali.gharbi@gmail.com,93259213,M,2023-01-17,Annual,Active,Sfax Center,2005
dd6dd3ff,Youssef Rezgui,youssef.rezgui@gmail.com,95925625,M,2024-01-03,Monthly,Cancelled,Sfax Center,1997
ae4bc23a,Siwar Bahri,siwar.bahrigmail.com,97936174,F,2024-03-08,VIP,Cancelled,Sousse Corniche,2001
42bc5995,Sarra Louati,sarra.louati@gmail.com,94366987,F,2023-12-22,Monthly,Expired,Tunis Lake,1985
2ddd5bbc,Ines Jaziri,ines.jazirigmail.com,03650102,F,2022-12-30,Student,Active,Bizerte Port,1970
fba743c8,Yassine Gharbi,yassine.gharbi@gmail.com,41917292,M,2024-05-13,Annual,Active,Bizerte Port,1987
cb17c182,Sarra Amri,sarra.amrigmail.com,46351258,F,2022-04-30,VIP,Active,Tunis Lake,1991
dc5a1e62,Omar Saidi,omar.saidi@gmail.com,87131773,M,2023-03-17,Student,Active,Nabeul Plage,1982
81a60181,Yassine Amri,yassine.amri@gmail.com,92792052,M,2023-06-27,Annual,Active,Sfax Center,2005
6167f46f,Bilel Trabelsi,bilel.trabelsi@gmail.com,58493536,M,2022-03-31,VIP,Active,Sousse Corniche,1984
725fc4a1,Fatma Rezgui,fatma.rezguigmail.com,77266706,F,2024-02-09,6-Month,Expired,Tunis Lake,1995
ae5fe508,Rania Dridi,rania.dridi@gmail.com,97471431,F,2023-08-14,VIP,Active,Nabeul Plage,1982
0eac2342,Sarra Dridi,,99427090,U,2023-07-18,VIP,Cancelled,Tunis Lake,1973
77fef229,Mourad Ben Ali,mourad.ben.ali@gmail.com,92472270,M,2022-10-31,Annual,Active,Nabeul Plage,1993
c2728202,Ali Bouazizi,ali.bouazizi@gmail.com,19494335,M,2022-06-14,Student,Active,Sousse Corniche,1980
9def56c5,Hedi Jaziri,hedi.jaziri@gmail.com,98514883,M,2022-08-10,Monthly,Active,Tunis Lake,1985
34d3f2b6,Rania Amri,rania.amri@gmail.com,95812948,F,2024-01-22,Student,Cancelled,Sfax Center,1984
8443e232,Mariem Rezgui,mariem.rezgui@gmail.com,93432993,F,2023-01-24,STUDENT,Active,Bizerte Port,1974
2cb8e7b4,Khaled Ben Ali,khaled.ben.ali@gmail.com,16546615,M,2023-11-05,Monthly,Active,Nabeul Plage,1995
ef4186c0,Siwar Bouazizi,siwar.bouazizi@gmail.com,87390586,F,2024-04-05,VIP,Active,Bizerte Port,1995
0c30daa0,Imen Gharbi,imen.gharbi@gmail.com,90328925,F,2024-11-23,Monthly,Active,Tunis Lake,1987
619ee721,Omar Louati,omar.louati@gmail.com,90278871,M,2024-06-09,6-Month,Expired,Bizerte Port,1984
b0d43c93,Ahmed Rezgui,ahmed.rezgui@gmail.com,39779680,M,2024-08-07,Monthly,Active,Sfax Center,1978
579bfa6d,Hela Bouazizi,hela.bouazizi@gmail.com,98278168,F,2022-06-19,6-Month,Expired,Sousse Corniche,2001
f81e4935,Ines Jaziri,ines.jaziri@gmail.com,95877017,U,2023-03-14,Monthly,Cancelled,Nabeul Plage,1998
05c5eab5,Hedi Bahri,hedi.bahri@gmail.com,38759855,M,2022-07-25,6-Month,Cancelled,Nabeul Plage,1993
03a7c7e0,Omar Ayari,omar.ayari@gmail.com,65897127,M,2024-02-06,VIP,Expired,Sfax Center,1975
58b37d03,Emna Rezgui,emna.rezgui@gmail.com,90109895,F,2023-06-15,Monthly,Cancelled,Bizerte Port,1987
2dbb02bc,Mohamed Sellami,mohamed.sellami@gmail.com,53364251,M,2022-01-18,Monthly,Active,Tunis Lake,1977
d95a3dff,Ali Ayari,ali.ayari@gmail.com,36871440,M,2024-01-31,6-Month,Active,Sousse Corniche,1999
a9a734d5,Mohamed Khelifi,,93588230,M,2023-07-28,Student,Expired,Sousse Corniche,1993
aa1e4428,Karim Khelifi,karim.khelifi@gmail.com,97442477,M,2022-06-12,Monthly,Expired,Bizerte Port,1991
35d8673d,Aziz Rezgui,aziz.rezgui@gmail.com,80868596,M,2022-07-20,VIP,Active,Tunis Lake,2003
bcbf5318,Zied Bahri,zied.bahri@gmail.com,93426083,M,2024-04-24,Annual,Active,Sfax Center,1991
78d2742d,Ines Hammami,ines.hammami@gmail.com,13722388,F,2023-10-03,VIP,Active,Tunis Lake,2000
dfa29acd,Hedi Ferjani,hedi.ferjani@gmail.com,97729906,M,2022-06-28,Annual,Active,Bizerte Port,1994
5cbc5242,Yassine Sellami,yassine.sellami@gmail.com,49909753,M,2024-09-17,6-Month,Active,Sfax Center,1994
ddcf8038,Amira Abidi,amira.abidi@gmail.com,99200117,F,2022-08-17,VIP,Cancelled,Sousse Corniche,1978
7b1b2ab9,Mariem Mansouri,,92980689,F,2022-09-07,VIP,Cancelled,Bizerte Port,1974
6f1958f0,Omar Abidi,omar.abidigmail.com,90312321,M,2022-08-10,Annual,Expired,Bizerte Port,1985
0b7e22c3,Sami Gharbi,sami.gharbi@gmail.com,23295000,M,2023-03-12,VIP,Active,Tunis Lake,1986
707ad333,Amira Ayari,amira.ayari@gmail.com,93399081,F,2022-02-04,Monthly,Expired,Tunis Lake,1992
84efc9ca,Skander Jaziri,,96820469,M,2022-10-08,VIP,Active,Tunis Lake,1976
a455e790,Zied Dridi,zied.dridi@gmail.com,36014474,M,2023-05-28,Monthly,Expired,Tunis Lake,1978
27cfddda,Salma Louati,salma.louati@gmail.com,92870468,F,2024-03-28,VIP,Active,Nabeul Plage,1971
60d7e896,Aziz Saidi,aziz.saidi@gmail.com,93776544,M,2022-01-23,6-Month,Active,Bizerte Port,2004
cb210247,Rania Sellami,rania.sellami@gmail.com,99750740,F,2024-06-30,Student,Cancelled,Nabeul Plage,2002
eff9b23f,Youssef Mebarki,youssef.mebarki@gmail.com,90916144,M,2023-06-05,6-Month,Cancelled,Nabeul Plage,1978
e0ddafda,Nour Hammami,nour.hammami@gmail.com,99677522,F,2024-12-24,Annual,Active,Nabeul Plage,1975
00ea28ba,Amira Bahri,amira.bahri@gmail.com,97446541,F,2024-07-15,STUDENT,Active,Bizerte Port,2002
8a7bf578,Yassine Mansouri,yassine.mansouri@gmail.com,90768557,M,2022-09-09,Monthly,Active,Bizerte Port,1979
3b8fed6d,Youssef Saidi,youssef.saidi@gmail.com,39974359,M,2023-06-05,Annual,Cancelled,Sousse Corniche,1996
c9c7f0a3,Zied Gharbi,zied.gharbi@gmail.com,93719945,M,2022-06-21,Monthly,Active,Tunis Lake,1994
e7aa925b,Emna Jaziri,emna.jaziri@gmail.com,99987362,F,2024-09-04,Monthly,Active,Sousse Corniche,1996
0ac8794f,Jasser Hammami,jasser.hammami@gmail.com,70748879,M,2023-10-11,VIP,Expired,Tunis Lake,2002
4f617d4c,Ahmed Ayari,ahmed.ayari@gmail.com,98928905,M,2024-04-06,Annual,Expired,Bizerte Port,1976
6ab0a970,Emna Mansouri,emna.mansouri@gmail.com,28850667,F,2022-06-07,Student,Active,Sousse Corniche,1972
717c21f6,Ali Abidi,ali.abidi@gmail.com,92774481,M,2024-12-06,Student,Active,Bizerte Port,1992
6462cc06,Fatma Khelifi,fatma.khelifi@gmail.com,94485886,F,2024-07-12,Monthly,Expired,Sousse Corniche,1994
9ce412c1,Amira Louati,amira.louati@gmail.com,06818745,F,2023-05-18,VIP,Active,Sfax Center,1974
cec159e8,Emna Saidi,emna.saidi@gmail.com,16351413,F,2023-10-14,6-Month,Active,Sousse Corniche,1985
5943beae,Mariem Gharbi,mariem.gharbi@gmail.com,93786022,F,2022-05-11,Monthly,Active,Sfax Center,1993
9c704859,Aziz Khelifi,aziz.khelifi@gmail.com,32832665,M,2024-04-20,Annual,Active,Tunis Lake,1999
5f012847,Youssef Louati,youssef.louati@gmail.com,46144941,M,2023-11-14,6-Month,Active,Tunis Lake,1980
f1e4d91e,Fatma Trabelsi,fatma.trabelsi@gmail.com,64784966,F,2023-05-15,VIP,Active,Bizerte Port,1970
af7642b1,Malek Rezgui,malek.rezgui@gmail.com,28236234,M,2022-02-07,Student,Cancelled,Nabeul Plage,1991
73ec5425,Hedi Louati,hedi.louati@gmail.com,84301380,M,2024-04-16,Annual,Cancelled,Sfax Center,1983
1a80005e,Amira Bouazizi,amira.bouazizi@gmail.com,68072391,F,2023-08-19,VIP,Active,Nabeul Plage,1973
7bacc62e,Ahmed Ferjani,ahmed.ferjani@gmail.com,83914051,M,2023-07-04,Monthly,Active,Tunis Lake,1983
